rise rose risen
run ran run
say said said
sell sold sold 
shoot shot shot
sing sang sung
sit sat sat
speak spoke spoken
stand stood stood
steal stole stolen
stick stuck stuck
swear swore sworn
swim swam swum
think thought thought
teach taught taught
throw threw thrown
take took taken
understand understood understood
win won won
write wrote written
